Directory of Federal Real Property
Real Property and Materiel Policy Division
Treasury Board of Canada Secretariat
Government of Canada

Security Level: Not Protected
Date: January 1st, 2023
Sort order:
Character set: ISO 8859 Latin 1
Field Delimiter: Comma
Text Qualifier: Double quote
Field Names: Included in line 16
Data: Begins on line 17
Help: DFRP-ADMIN-RBIF@tbs-sct.gc.ca

"Property Number (TEXT data)","Parcel Number (TEXT data)","Property Name","Custodian Code (TEXT data)","Custodian Name","Primary Use Group Code (TEXT data)","Primary Use Group","Interest Type Code (TEXT data)","Interest Type","Restriction on Interest Code (TEXT data)","Restriction on Interest","Street Address","Place Name","SGC Code (TEXT data)","Municipality","Province or Territory Code (TEXT data)","Province or Territory","Federal Electoral District Code (TEXT data)","Federal Electoral District","Country Code (TEXT data)","Country","City Code (TEXT data)","City","Land Area","Building Count","Floor Area","Exterior Parking","Interior Parking","Interior Parking Included in Floor Area","Latitude","Longitude","Positional Accuracy","Security Code (TEXT data)","Security Designation","Census Classification","Record Created On","Record Last Modified On"
"00030","00","AECL J.L. Gray Building","320","Atomic Energy of Canada Limited","45 ","Office","10","Crown Owned","00","No Restriction","20 Forest Avenue","Chalk River","3547096","Deep River","35","Ontario","086","Renfrew--Nipissing--Pembroke","CA","Canada","","","1.4000",0,"0.00",0,0,"Yes","46.101005","-77.489126",100,"0","Not Protected","Rural","1995-07-10 12:00:00 AM","2021-11-12 12:00:00 PM"
"00360","00","GC Site - Mount Pearl","140","Public Services and Procurement Canada","45 ","Office","10","Crown Owned","00","No Restriction","6 Bruce Street","","1001542","Mount Pearl","10","Newfoundland and Labrador","007","St. John's South--Mount Pearl","CA","Canada","","","0.8011",1,"1184.00",47,0,"No","47.524360","-52.840960",100,"0","Not Protected","Urban","1990-09-10 12:00:00 AM","2019-04-18 5:00:00 AM"
"00371","00","Sir Humphrey Gilbert Site","140","Public Services and Procurement Canada","45 ","Office","10","Crown Owned","00","No Restriction","165 Duckworth Street","","1001519","St. John's","10","Newfoundland and Labrador","006","St. John's East","CA","Canada","","","0.3722",1,"9783.00",30,24,"No","47.568284","-52.702781",50,"0","Not Protected","Rural","1990-08-03 12:00:00 AM","2021-07-19 12:00:00 PM"
"00408","00","Eclipse Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","354 Water Street","","1001519","St. John's","10","Newfoundland and Labrador","006","St. John's East","CA","Canada","","","0.0000",1,"641.00",1,0,"No","47.560283","-52.711537",10,"0","Not Protected","Rural","1993-03-31 12:00:00 AM","2021-07-19 12:00:00 PM"
"00429","00","The BDC Building","540","Business Development Bank of Canada","45 ","Office","24","Lease or Licence","00","No Restriction","100-5 Place Ville Marie","","2466023","Montréal","24","Quebec","077","Ville-Marie--Le Sud-Ouest--Île-des-Soeurs","CA","Canada","","","0.0001",1,"19133.00",0,0,"Yes","45.501490","-73.568950",50,"0","Not Protected","Urban","1996-04-29 12:00:00 AM","2017-12-16 5:00:00 AM"
"00441","00","Burin Office, Burin Peninsula District","162","Royal Canadian Mounted Police","45 ","Office","10","Crown Owned","00","No Restriction","6 and 8 Police Rd","","1002005","Burin","10","Newfoundland and Labrador","002","Bonavista--Burin--Trinity","CA","Canada","","","0.6879",1,"388.00",0,0,"No","47.060410","-55.176430",10,"0","Not Protected","Rural","1990-08-08 12:00:00 AM","2021-07-19 12:00:00 PM"
"00533","00","Jerrett Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","130-140 Ville-de-Marie Dr.","","1002024","Marystown","10","Newfoundland and Labrador","002","Bonavista--Burin--Trinity","CA","Canada","","","0.0000",1,"540.00",11,0,"No","47.166623","-55.153548",100,"0","Not Protected","Rural","1990-08-03 12:00:00 AM","2021-07-19 12:00:00 PM"
"00696","00","Ramea Community Office, Bay St. George District","162","Royal Canadian Mounted Police","45 ","Office","10","Crown Owned","00","No Restriction","2 Fisheries Rd","","1003026","Ramea","10","Newfoundland and Labrador","005","Long Range Mountains","CA","Canada","","","0.6039",1,"35.00",0,0,"Yes","47.522480","-57.387660",300,"0","Not Protected","Rural","1990-08-08 12:00:00 AM","2021-07-19 12:00:00 PM"
"00697","00","Plains of Abraham Museum","640","The National Battlefields Commission","45 ","Office","10","Crown Owned","00","No Restriction","835 Wilfrid-Laurier Ave; Part Lot 4801","","2423027","Québec","24","Quebec","059","Québec","CA","Canada","","","0.7314",2,"3263.00",0,0,"Yes","46.806990","-71.212840",10,"0","Not Protected","Urban","1997-01-17 12:00:00 AM","2017-09-25 3:38:02 PM"
"00772","00","National Headquarters","163","Canadian Security Intelligence Service","45 ","Office","10","Crown Owned","00","No Restriction","1941 Ogilvie Rd.","","3506008","Ottawa","35","Ontario","078","Ottawa--Vanier","CA","Canada","","","15.9000",1,"80993.00",0,0,"Yes","45.436713","-75.611623",75,"0","Not Protected","Rural","1997-05-06 12:00:00 AM","2020-11-11 5:00:00 AM"
