Directory of Federal Real Property
Real Property and Materiel Policy Division
Treasury Board of Canada Secretariat
Government of Canada

Security Level: Not Protected
Date: January 3rd, 2023
Sort order:
Character set: ISO 8859 Latin 1
Field Delimiter: Comma
Text Qualifier: Double quote
Field Names: Included in line 16
Data: Begins on line 17
Help: DFRP-ADMIN-RBIF@tbs-sct.gc.ca

"Structure Number (TEXT data)","Property Number (TEXT data)","Structure Name","Custodian Code (TEXT data)","Custodian Name","Interest Type Code (TEXT data)","Interest Type","Street Address","Floor Area","Construction Year","Condition Type Code (TEXT data)","Condition","Fully Occupied Building","SGC Code (TEXT data)","Municipality","Province or Territory Code (TEXT data)","Province or Territory","Federal Electoral District Code (TEXT data)","Federal Electoral District","Country Code (TEXT data)","Country","City Code (TEXT data)","City","Latitude","Longitude","Security Code (TEXT data)","Security Designation","Census Classification","Record Created On","Record Last Modified On"
"000360","00360","GC Building - Mount Pearl","140","Public Services and Procurement Canada","10","Crown Owned","6  Bruce Street, Mount Pearl, Newfoundland and Labrador, A1N 4T3","1184.00","1965","3","Poor","Yes","1001542","Mount Pearl","10","Newfoundland and Labrador","007","St. John's South--Mount Pearl","CA","Canada","","","47.524605","-52.841289","0","Not Protected","Urban","2008-10-15 2:42:04 PM","2022-11-24 5:00:00 AM"
"000371","00371","Sir Humphrey Gilbert Building","140","Public Services and Procurement Canada","10","Crown Owned","165  Duckworth Street, St. John's, Newfoundland and Labrador, A1C 1G4","9783.00","1959","3","Poor","Yes","1001519","St. John's","10","Newfoundland and Labrador","006","St. John's East","CA","Canada","","","47.568147","-52.702903","0","Not Protected","Rural","2008-10-15 2:42:04 PM","2022-11-24 5:00:00 AM"
"000408","00408","Eclipse Building","140","Public Services and Procurement Canada","24","Lease or Licence","354  Water Street","641.00","","","","Yes","1001519","St. John's","10","Newfoundland and Labrador","006","St. John's East","CA","Canada","","","47.560300","-52.711500","0","Not Protected","Rural","2008-10-15 2:42:04 PM","2022-08-08 12:00:00 PM"
"000441","00441","Burin Office","162","Royal Canadian Mounted Police","10","Crown Owned","6 Police Rd","388.00","1955","1","Good","Yes","1002005","Burin","10","Newfoundland and Labrador","002","Bonavista--Burin--Trinity","CA","Canada","","","47.060410","-55.176430","0","Not Protected","Rural","2009-02-25 9:04:52 AM","2019-12-10 12:00:01 PM"
"000533","00533","Jerrett Building","140","Public Services and Procurement Canada","24","Lease or Licence","130-140 Ville Marie Drive, Marystown, Newfoundland and Labrador, A0E 2M0","540.00","","","","No","1002024","Marystown","10","Newfoundland and Labrador","002","Bonavista--Burin--Trinity","CA","Canada","","","47.166623","-55.153548","0","Not Protected","Rural","2008-10-15 2:42:04 PM","2020-01-17 5:00:00 AM"
"000611","20622","Carling Campus - Building No. 2","140","Public Services and Procurement Canada","10","Crown Owned","3500 Carling Avenue","8765.00","1996","1","Good","Yes","3506008","Ottawa","35","Ontario","079","Ottawa West--Nepean","CA","Canada","","","45.352228","-75.852366","0","Not Protected","Rural","2011-11-29 3:22:18 PM","2021-07-07 5:00:00 AM"
"000635","20622","Carling Campus - Building No. 3","140","Public Services and Procurement Canada","10","Crown Owned","3500 Carling Avenue","30975.00","1996","1","Good","Yes","3506008","Ottawa","35","Ontario","079","Ottawa West--Nepean","CA","Canada","","","45.351735","-75.851501","0","Not Protected","Rural","2011-11-29 3:22:18 PM","2021-07-07 5:00:00 AM"
"000696","00696","Ramea Community Office","162","Royal Canadian Mounted Police","10","Crown Owned","2 Fisheries Rd","35.00","1986","2","Fair","Yes","1003026","Ramea","10","Newfoundland and Labrador","005","Long Range Mountains","CA","Canada","","","47.522480","-57.387660","0","Not Protected","Rural","2009-02-25 9:04:52 AM","2020-09-30 12:00:00 PM"
"000772","00772","National Headquarters","163","Canadian Security Intelligence Service","10","Crown Owned","1941 Ogilvie Rd.","80993.00","1994","2","Fair","Yes","3506008","Ottawa","35","Ontario","078","Ottawa--Vanier","CA","Canada","","","45.437360","-75.613495","0","Not Protected","Rural","2008-06-10 8:47:32 AM","2020-12-02 5:00:01 AM"
"000907","00907","Former Bank of Nova Scotia Bldg.","140","Public Services and Procurement Canada","24","Lease or Licence","49-53  Conception Bay Highway, Clarke's Beach, Newfoundland and Labrador, A0A 1W0","356.00","","","","Yes","1001409","Bay Roberts","10","Newfoundland and Labrador","001","Avalon","CA","Canada","","","47.593670","-53.281680","0","Not Protected","Rural","2008-10-15 2:42:04 PM","2020-01-17 5:00:00 AM"
"000918","00918","FortisTowers","140","Public Services and Procurement Canada","24","Lease or Licence","4  Herald Avenue, Corner Brook, Newfoundland and Labrador, A2H 4B4","390.00","","","","No","1005018","Corner Brook","10","Newfoundland and Labrador","005","Long Range Mountains","CA","Canada","","","48.952390","-57.952592","0","Not Protected","Rural","2008-10-15 2:42:04 PM","2020-04-08 12:00:00 PM"
"000989","00989","McCurdy Building","140","Public Services and Procurement Canada","24","Lease or Licence","1  Markham Place","332.00","","","","No","1006009","Gander","10","Newfoundland and Labrador","003","Coast of Bays--Central--Notre Dame","CA","Canada","","","48.959937","-54.613419","0","Not Protected","Rural","2008-10-15 2:42:04 PM","2020-01-17 5:00:00 AM"
"001618","01618","Bugden Building","140","Public Services and Procurement Canada","24","Lease or Licence","118  Pond Road, Rocky Harbour, Newfoundland and Labrador, A0K 4N0","202.00","","","","No","1009013","Rocky Harbour","10","Newfoundland and Labrador","005","Long Range Mountains","CA","Canada","","","49.577184","-57.915077","0","Not Protected","Rural","2008-10-15 2:42:04 PM","2020-01-17 5:00:00 AM"
"001704","20622","Carling Campus - Building No. 5","140","Public Services and Procurement Canada","10","Crown Owned","3500 Carling Avenue","44502.00","1996","1","Good","Yes","3506008","Ottawa","35","Ontario","079","Ottawa West--Nepean","CA","Canada","","","45.350433","-75.850919","0","Not Protected","Rural","2011-12-01 10:31:37 AM","2021-07-07 5:00:00 AM"
"001813","20622","Carling Campus - Pavilion","140","Public Services and Procurement Canada","10","Crown Owned","3500 Carling Avenue","3133.00","1996","4","Critical","Yes","3506008","Ottawa","35","Ontario","079","Ottawa West--Nepean","CA","Canada","","","45.352934","-75.851720","0","Not Protected","Rural","2011-12-01 10:31:37 AM","2022-11-24 5:00:00 AM"
"001944","01944","551 Main Street","140","Public Services and Procurement Canada","24","Lease or Licence","551  Main Street","175.00","","","","No","1101045","Three Rivers","11","Prince Edward Island","001","Cardigan","CA","Canada","","","46.165448","-62.649395","0","Not Protected","Rural","2008-10-29 4:44:52 PM","2021-03-31 7:30:42 PM"
"002199","02199","57 Central Street","140","Public Services and Procurement Canada","24","Lease or Licence","57  Central Street, Summerside, Prince Edward Island, C1N 3K0","1098.00","","","","No","1103025","Summerside","11","Prince Edward Island","003","Egmont","CA","Canada","","","46.393500","-63.791700","0","Not Protected","Urban","2016-06-25 12:00:01 PM","2021-06-09 12:00:00 PM"
"002344","02344","162 Mowatt Street","140","Public Services and Procurement Canada","24","Lease or Licence","162  Mowatt Street, Shelburne, Nova Scotia, B0T 1W0","331.00","","","","No","1201008","Shelburne","12","Nova Scotia","009","South Shore--St. Margarets","CA","Canada","","","43.763902","-65.322293","0","Not Protected","Rural","2018-02-21 5:00:00 AM","2019-12-12 12:00:01 PM"
"002424","02424","GC Building - Yarmouth Fisheries Building","140","Public Services and Procurement Canada","10","Crown Owned","215  Main Street, Yarmouth, Nova Scotia, B5A 1C6","1278.00","1975","1","Good","Yes","1202006","Yarmouth","12","Nova Scotia","011","West Nova","CA","Canada","","","43.832286","-66.119901","0","Not Protected","Urban","2019-11-13 5:00:00 AM","2019-12-18 12:00:00 PM"
"002425","02425","GC Building - Yarmouth","140","Public Services and Procurement Canada","10","Crown Owned","15  Willow Street, Yarmouth, Nova Scotia, B5A 1T0","2711.00","1954","3","Poor","Yes","1202006","Yarmouth","12","Nova Scotia","011","West Nova","CA","Canada","","","43.835232","-66.117227","0","Not Protected","Urban","2008-10-15 2:42:04 PM","2022-08-08 12:00:00 PM"
"002665","02665","Dawson B. Dauphinee Bldg.","140","Public Services and Procurement Canada","10","Crown Owned","77  Dufferin Street, Bridgewater, Nova Scotia, B4V 3W8","1818.00","1995","3","Poor","Yes","1206004","Bridgewater","12","Nova Scotia","009","South Shore--St. Margarets","CA","Canada","","","44.373397","-64.518953","0","Not Protected","Urban","2008-10-22 2:54:29 PM","2021-12-03 12:00:00 PM"
"002734","02734","495 Main Street Building","140","Public Services and Procurement Canada","24","Lease or Licence","495  Main Street, Kentville, Nova Scotia, B4N 1K0","811.00","","","","Yes","1207012","Kentville","12","Nova Scotia","007","Kings--Hants","CA","Canada","","","45.077900","-64.500300","0","Not Protected","Rural","2018-02-21 5:00:00 AM","2020-12-17 5:00:01 AM"
"002874","02874","Bedford Trade Mart","140","Public Services and Procurement Canada","24","Lease or Licence","99  Rocky Lake Drive, Bedford, Nova Scotia, B4A 2T3","759.00","","","","No","1209034","Halifax","12","Nova Scotia","005","Halifax","CA","Canada","","","44.737423","-63.647391","0","Not Protected","Rural","2008-10-15 2:42:04 PM","2020-01-17 5:00:00 AM"
