Directory of Federal Real Property
Real Property and Materiel Policy Division
Treasury Board of Canada Secretariat
Government of Canada

Security Level: Not Protected
Date: January 3rd, 2023
Sort order:
Character set: ISO 8859 Latin 1
Field Delimiter: Comma
Text Qualifier: Double quote
Field Names: Included in line 16
Data: Begins on line 17
Help: DFRP-ADMIN-RBIF@tbs-sct.gc.ca

"Structure Number (TEXT data)","Tenant Code (TEXT data)","Tenant Name","Floor Area"
"000360","DOE","Environment and Climate Change Canada",1184.00
"000371","CSD","Employment and Social Development Canada",1765.00
"000371","995","Vacant",2512.00
"000371","NAR","Canada Revenue Agency",5505.00
"000408","CAJ","Courts Administration Service",617.00
"000408","DOE","Environment and Climate Change Canada",24.00
"000533","CSD","Employment and Social Development Canada",480.00
"000533","ACO","Atlantic Canada Opportunities Agency",60.00
"000611","995","Vacant",562.00
"000611","DND","National Defence",8015.00
"000611","GSS","Shared Services Canada",188.00
"000635","DND","National Defence",30975.00
"000907","ICA","Canadian Food Inspection Agency",356.00
"000918","MOT","Transport Canada",240.00
"000918","DOE","Environment and Climate Change Canada",150.00
"000989","CSD","Employment and Social Development Canada",332.00
"001618","CSD","Employment and Social Development Canada",202.00
"001704","DND","National Defence",44502.00
"001813","DND","National Defence",3027.00
"001813","995","Vacant",106.00
"001944","ICA","Canadian Food Inspection Agency",175.00
"002199","ICA","Canadian Food Inspection Agency",414.00
"002199","CSD","Employment and Social Development Canada",684.00
"002344","ICA","Canadian Food Inspection Agency",331.00
"002424","DFO","Fisheries and Oceans Canada",1278.00
"002425","CSD","Employment and Social Development Canada",666.00
"002425","CPO","Canada Post",976.00
"002425","995","Vacant",614.00
"002425","BSF","Canada Border Services Agency",426.00
"002425","PEN","Correctional Service of Canada",27.00
"002665","995","Vacant",951.00
"002665","CSD","Employment and Social Development Canada",867.00
"002734","CSD","Employment and Social Development Canada",603.00
"002734","PEN","Correctional Service of Canada",208.00
"002874","DOE","Environment and Climate Change Canada",759.00
"002953","CAJ","Courts Administration Service",236.00
"002964","STC","Statistics Canada",2079.00
"002968","HER","Canadian Heritage",363.00
"002968","CAP","Parks Canada Agency",2182.00
"002983","DND","National Defence",12794.00
"003020","DND","National Defence",8118.00
"003020","GSS","Shared Services Canada",74.00
"003207","IAN","Crown-Indigenous Relations and Northern Affairs Canada",2747.00
"003207","RSN","Natural Resources Canada",30.00
"003207","CPO","Canada Post",828.00
"003207","995","Vacant",97.00
"003289","995","Vacant",956.00
"003289","CSD","Employment and Social Development Canada",940.00
"003436","CSD","Employment and Social Development Canada",330.00
"003480","CSD","Employment and Social Development Canada",435.00
"003480","ICA","Canadian Food Inspection Agency",75.00
"003480","MOT","Transport Canada",267.00
"003710","NAR","Canada Revenue Agency",2154.00
"003710","IMC","Immigration, Refugees and Citizenship Canada",3799.00
"003710","GSS","Shared Services Canada",97.00
"003710","995","Vacant",17.00
"003710","BSF","Canada Border Services Agency",156.00
"003711","IMC","Immigration, Refugees and Citizenship Canada",859.00
"003891","MOT","Transport Canada",335.00
"003891","RCM","Royal Canadian Mounted Police",551.00
"003891","BSF","Canada Border Services Agency",189.00
"003891","995","Vacant",5067.00
"003891","DUS","Innovation, Science and Economic Development Canada",402.00
"003892","DVA","Veterans Affairs Canada",1030.00
"003892","995","Vacant",1237.00
"003892","BSF","Canada Border Services Agency",1223.00
"003892","CAP","Parks Canada Agency",23.00
"003892","NAR","Canada Revenue Agency",5834.00
"003892","GSS","Shared Services Canada",18.00
"004075","995","Vacant",471.00
"004075","990","Third Party",211.00
"004075","CSD","Employment and Social Development Canada",459.00
"004075","CPO","Canada Post",556.00
"004378","CSD","Employment and Social Development Canada",1967.00
"004378","DUS","Innovation, Science and Economic Development Canada",504.00
