Directory of Federal Real Property
Real Property and Materiel Policy Division
Treasury Board of Canada Secretariat
Government of Canada

Security Level: Not Protected
Date: January 6th, 2023
Sort order:
Character set: ISO 8859 Latin 1
Field Delimiter: Comma
Text Qualifier: Double quote
Field Names: Included in line 16
Data: Begins on line 17
Help: DFRP-ADMIN-RBIF@tbs-sct.gc.ca

"Structure Number (TEXT data)","Structure Use Code (TEXT data)","Structure Use"
"000002","41 ","Military"
"000004","29 ","Residential"
"000006","31 ","Industrial"
"000006","63 ","Warehouse, Storage and Workshops"
"000007","45 ","Office"
"000017","63 ","Warehouse, Storage and Workshops"
"000025","31 ","Industrial"
"000025","63 ","Warehouse, Storage and Workshops"
"000026","31 ","Industrial"
"000026","63 ","Warehouse, Storage and Workshops"
"000029","31 ","Industrial"
"000029","63 ","Warehouse, Storage and Workshops"
"000031","31 ","Industrial"
"000031","63 ","Warehouse, Storage and Workshops"
"000052","29 ","Residential"
"000054","29 ","Residential"
"000083","63 ","Warehouse, Storage and Workshops"
"000089","09 ","Communications"
"000091","11 ","Law Enforcement and Corrections"
"000094","13 ","Assembly and Cultural"
"000096","41 ","Military"
"000102","11 ","Law Enforcement and Corrections"
"000106","31 ","Industrial"
"000106","63 ","Warehouse, Storage and Workshops"
"000118","45 ","Office"
"000123","45 ","Office"
"000155","31 ","Industrial"
"000155","45 ","Office"
"000155","63 ","Warehouse, Storage and Workshops"
"000158","63 ","Warehouse, Storage and Workshops"
"000167","45 ","Office"
"000173","31 ","Industrial"
"000173","63 ","Warehouse, Storage and Workshops"
"000181","45 ","Office"
"000193","31 ","Industrial"
"000193","63 ","Warehouse, Storage and Workshops"
"000214","63 ","Warehouse, Storage and Workshops"
"000219","45 ","Office"
"000238","45 ","Office"
"000264","63 ","Warehouse, Storage and Workshops"
"000278","45 ","Office"
"000318","45 ","Office"
"000339","05 ","Transportation - Air"
"000343","11 ","Law Enforcement and Corrections"
"000345","13 ","Assembly and Cultural"
"000346","63 ","Warehouse, Storage and Workshops"
"000346","13 ","Assembly and Cultural"
"000346","80 ","Legislative, Judicial, and Diplomatic"
"000358","29 ","Residential"
"000360","51 ","Research and Technological Development"
"000360","13 ","Assembly and Cultural"
"000360","45 ","Office"
"000360","63 ","Warehouse, Storage and Workshops"
"000371","13 ","Assembly and Cultural"
"000371","45 ","Office"
"000371","41 ","Military"
"000371","31 ","Industrial"
"000371","47 ","Parks and Recreation"
"000371","17 ","Education and Training"
"000371","63 ","Warehouse, Storage and Workshops"
"000371","63 ","Warehouse, Storage and Workshops"
"000373","45 ","Office"
"000373","17 ","Education and Training"
"000393","09 ","Communications"
"000394","13 ","Assembly and Cultural"
"000408","45 ","Office"
"000408","63 ","Warehouse, Storage and Workshops"
"000424","63 ","Warehouse, Storage and Workshops"
"000426","63 ","Warehouse, Storage and Workshops"
"000427","63 ","Warehouse, Storage and Workshops"
"000428","63 ","Warehouse, Storage and Workshops"
"000438","45 ","Office"
"000440","11 ","Law Enforcement and Corrections"
"000441","45 ","Office"
"000446","41 ","Military"
